fecha,tren,categoria,tipo_servicio,detalle,servicio_comercial,sentido,cod_origen,estacion_origen,cod_destino,estacion_destino,num_paradas,paradas
2026-06-23,14443,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),65312,Vinaròs,65000,València-Estació del Nord,25,Vinaròs > Benicarló-Peñíscola > Alcalá de Chivert > Torreblanca > Orpesa > Benicàssim > Castelló de la Plana > Almassora > Vila-Real > Burriana-Alquerías Niño Perdido > Nules la Villavella > Moncofa > Chilches/Xilxes > La Llosa > Almenara > Les Valls > Sagunt > Puçol > El Puig > Massalfassar > Albuixech > Roca-Cúper > València-Cabanyal > València-La Font de Sant Lluís > València-Estació del Nord
2026-06-23,14444,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),65000,València-Estació del Nord,65312,Vinaròs,24,València-Estació del Nord > València-La Font de Sant Lluís > València-Cabanyal > Roca-Cúper > Albuixech > El Puig > Puçol > Sagunt > Les Valls > Almenara > La Llosa > Chilches/Xilxes > Moncofa > Nules la Villavella > Burriana-Alquerías Niño Perdido > Vila-Real > Almassora > Castelló de la Plana > Benicàssim > Orpesa > Torreblanca > Alcalá de Chivert > Benicarló-Peñíscola > Vinaròs
2026-06-23,14446,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),65000,València-Estació del Nord,65312,Vinaròs,20,València-Estació del Nord > València-La Font de Sant Lluís > València-Cabanyal > Albuixech > El Puig > Puçol > Sagunt > Almenara > Chilches/Xilxes > Nules la Villavella > Burriana-Alquerías Niño Perdido > Vila-Real > Almassora > Castelló de la Plana > Benicàssim > Orpesa > Torreblanca > Alcalá de Chivert > Benicarló-Peñíscola > Vinaròs
2026-06-23,14450,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),65000,València-Estació del Nord,65312,Vinaròs,20,València-Estació del Nord > València-La Font de Sant Lluís > València-Cabanyal > Albuixech > El Puig > Puçol > Sagunt > Almenara > Chilches/Xilxes > Nules la Villavella > Burriana-Alquerías Niño Perdido > Vila-Real > Almassora > Castelló de la Plana > Benicàssim > Orpesa > Torreblanca > Alcalá de Chivert > Benicarló-Peñíscola > Vinaròs
2026-06-23,14452,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),65000,València-Estació del Nord,65312,Vinaròs,25,València-Estació del Nord > València-La Font de Sant Lluís > València-Cabanyal > Roca-Cúper > Albuixech > Massalfassar > El Puig > Puçol > Sagunt > Les Valls > Almenara > La Llosa > Chilches/Xilxes > Moncofa > Nules la Villavella > Burriana-Alquerías Niño Perdido > Vila-Real > Almassora > Castelló de la Plana > Benicàssim > Orpesa > Torreblanca > Alcalá de Chivert > Benicarló-Peñíscola > Vinaròs
2026-06-23,14461,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),65312,Vinaròs,65000,València-Estació del Nord,20,Vinaròs > Benicarló-Peñíscola > Alcalá de Chivert > Torreblanca > Orpesa > Benicàssim > Castelló de la Plana > Almassora > Vila-Real > Burriana-Alquerías Niño Perdido > Nules la Villavella > Chilches/Xilxes > Almenara > Sagunt > Puçol > El Puig > Albuixech > València-Cabanyal > València-La Font de Sant Lluís > València-Estació del Nord
2026-06-23,14462,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),65000,València-Estació del Nord,65312,Vinaròs,25,València-Estació del Nord > València-La Font de Sant Lluís > València-Cabanyal > Roca-Cúper > Albuixech > Massalfassar > El Puig > Puçol > Sagunt > Les Valls > Almenara > La Llosa > Chilches/Xilxes > Moncofa > Nules la Villavella > Burriana-Alquerías Niño Perdido > Vila-Real > Almassora > Castelló de la Plana > Benicàssim > Orpesa > Torreblanca > Alcalá de Chivert > Benicarló-Peñíscola > Vinaròs
2026-06-23,14463,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),65312,Vinaròs,65000,València-Estació del Nord,20,Vinaròs > Benicarló-Peñíscola > Alcalá de Chivert > Torreblanca > Orpesa > Benicàssim > Castelló de la Plana > Almassora > Vila-Real > Burriana-Alquerías Niño Perdido > Nules la Villavella > Chilches/Xilxes > Almenara > Sagunt > Puçol > El Puig > Albuixech > València-Cabanyal > València-La Font de Sant Lluís > València-Estació del Nord
2026-06-23,14464,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),65000,València-Estació del Nord,65312,Vinaròs,25,València-Estació del Nord > València-La Font de Sant Lluís > València-Cabanyal > Roca-Cúper > Albuixech > Massalfassar > El Puig > Puçol > Sagunt > Les Valls > Almenara > La Llosa > Chilches/Xilxes > Moncofa > Nules la Villavella > Burriana-Alquerías Niño Perdido > Vila-Real > Almassora > Castelló de la Plana > Benicàssim > Orpesa > Torreblanca > Alcalá de Chivert > Benicarló-Peñíscola > Vinaròs
2026-06-23,14465,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),65312,Vinaròs,65000,València-Estació del Nord,25,Vinaròs > Benicarló-Peñíscola > Alcalá de Chivert > Torreblanca > Orpesa > Benicàssim > Castelló de la Plana > Almassora > Vila-Real > Burriana-Alquerías Niño Perdido > Nules la Villavella > Moncofa > Chilches/Xilxes > La Llosa > Almenara > Les Valls > Sagunt > Puçol > El Puig > Massalfassar > Albuixech > Roca-Cúper > València-Cabanyal > València-La Font de Sant Lluís > València-Estació del Nord
