fecha,tren,categoria,tipo_servicio,detalle,servicio_comercial,sentido,cod_origen,estacion_origen,cod_destino,estacion_destino,num_paradas,paradas
2026-06-16,00190,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,12,Madrid-Chamartín-Clara Campoamor > Madrid-Atocha Cercanías > Leganés > Torrijos > Talavera de la Reina > Oropesa de Toledo > Navalmoral de la Mata > Monfragüe > Cáceres > Mérida > Montijo > Badajoz
2026-06-16,00192,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,11,Madrid-Chamartín-Clara Campoamor > Madrid-Atocha Cercanías > Leganés > Torrijos > Talavera de la Reina > Oropesa de Toledo > Navalmoral de la Mata > Monfragüe > Cáceres > Mérida > Badajoz
2026-06-16,00194,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,8,Madrid-Chamartín-Clara Campoamor > Madrid-Atocha Cercanías > Leganés > Talavera de la Reina > Navalmoral de la Mata > Monfragüe > Cáceres > Badajoz
2026-06-16,00276,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,56312,Almería,11,Madrid-Chamartín-Clara Campoamor > Madrid-Atocha Cercanías > Alcázar de San Juan > Vilches > Linares-Baeza > Jódar-Úbeda > Cabra del Santo Cristo y Alicún > Moreda > Guadix > Huercal-Viator > Almería
2026-06-16,00276,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,50300,Linares-Baeza,5,Madrid-Chamartín-Clara Campoamor > Madrid-Atocha Cercanías > Alcázar de San Juan > Vilches > Linares-Baeza
2026-06-16,00279,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),56312,Almería,17000,Madrid-Chamartín-Clara Campoamor,11,Almería > Huercal-Viator > Guadix > Moreda > Cabra del Santo Cristo y Alicún > Jódar-Úbeda > Linares-Baeza > Vilches > Alcázar de San Juan > Madrid-Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-06-16,00279,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),50300,Linares-Baeza,17000,Madrid-Chamartín-Clara Campoamor,5,Linares-Baeza > Vilches > Alcázar de San Juan > Madrid-Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-06-16,00280,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),11200,Miranda de Ebro,13200,Bilbao-Intermod. Abando Indalecio Prieto,3,Miranda de Ebro > Llodio > Bilbao-Intermod. Abando Indalecio Prieto
2026-06-16,00281,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),11511,San Sebastián-Donostia,11208,Vitoria-Gasteiz,4,San Sebastián-Donostia > Zumarraga > Altsasu > Vitoria-Gasteiz
2026-06-16,00281,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),11511,San Sebastián-Donostia,11200,Miranda de Ebro,5,San Sebastián-Donostia > Zumarraga > Altsasu > Vitoria-Gasteiz > Miranda de Ebro
