fecha,tren,categoria,tipo_servicio,detalle,servicio_comercial,sentido,cod_origen,estacion_origen,cod_destino,estacion_destino,num_paradas,paradas
2026-05-04,00190,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,12,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Leganés > Torrijos > Talavera De La Reina > Oropesa De Toledo > Navalmoral De La Mata > Monfragüe-Plasencia > Cáceres > Mérida > Montijo > Badajoz
2026-05-04,00192,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,11,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Leganés > Torrijos > Talavera De La Reina > Oropesa De Toledo > Navalmoral De La Mata > Monfragüe-Plasencia > Cáceres > Mérida > Badajoz
2026-05-04,00194,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,8,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Leganés > Talavera De La Reina > Navalmoral De La Mata > Plasencia > Cáceres > Badajoz
2026-05-04,00276,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,56312,Almeria,11,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Alcazar de San Juan > Vilches > Linares-Baeza > Jodar-Ubeda > Cabra del Santo Cristo Y Alicun > Moreda > Guadix > Huercal-Viator > Almeria
2026-05-04,00276,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,50300,Linares-Baeza,5,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Alcazar de San Juan > Vilches > Linares-Baeza
2026-05-04,00279,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),56312,Almeria,17000,Madrid-Chamartín-Clara Campoamor,11,Almeria > Huercal-Viator > Guadix > Moreda > Cabra del Santo Cristo Y Alicun > Jodar-Ubeda > Linares-Baeza > Vilches > Alcazar de San Juan > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-05-04,00279,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),50300,Linares-Baeza,17000,Madrid-Chamartín-Clara Campoamor,5,Linares-Baeza > Vilches > Alcazar de San Juan > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-05-04,00280,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),11200,Miranda De Ebro,13200,Bilbao-Abando Indalecio Prieto,3,Miranda De Ebro > Llodio > Bilbao-Abando Indalecio Prieto
2026-05-04,00281,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),11511,San Sebastián/Donostia,11208,Vitoria/Gasteiz,4,San Sebastián/Donostia > Zumarraga > Altsasu/Alsasua-Estación > Vitoria/Gasteiz
2026-05-04,00282,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),11208,Vitoria/Gasteiz,11511,San Sebastián/Donostia,4,Vitoria/Gasteiz > Altsasu/Alsasua-Estación > Zumarraga > San Sebastián/Donostia
2026-05-04,00283,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),13200,Bilbao-Abando Indalecio Prieto,11200,Miranda De Ebro,3,Bilbao-Abando Indalecio Prieto > Llodio > Miranda De Ebro
2026-05-04,00291,LD,Larga Distancia,LD,ALVIA,Impar (↑ Norte/Origen),37606,Badajoz,17000,Madrid-Chamartín-Clara Campoamor,8,Badajoz > Cáceres > Plasencia > Navalmoral De La Mata > Talavera De La Reina > Leganés > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-05-04,00293,LD,Larga Distancia,LD,ALVIA,Impar (↑ Norte/Origen),37606,Badajoz,17000,Madrid-Chamartín-Clara Campoamor,11,Badajoz > Mérida > Cáceres > Monfragüe-Plasencia > Navalmoral De La Mata > Oropesa De Toledo > Talavera De La Reina > Torrijos > Leganés > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-05-04,00295,LD,Larga Distancia,LD,ALVIA,Impar (↑ Norte/Origen),37606,Badajoz,17000,Madrid-Chamartín-Clara Campoamor,12,Badajoz > Montijo > Mérida > Cáceres > Monfragüe-Plasencia > Navalmoral De La Mata > Oropesa De Toledo > Talavera De La Reina > Torrijos > Leganés > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-05-04,00297,LD,Larga Distancia,LD,ALVIA,Impar (↑ Norte/Origen),37606,Badajoz,17000,Madrid-Chamartín-Clara Campoamor,8,Badajoz > Cáceres > Monfragüe-Plasencia > Navalmoral De La Mata > Talavera De La Reina > Leganés > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-05-04,00299,LD,Larga Distancia,LD,ALVIA,Impar (↑ Norte/Origen),37606,Badajoz,17000,Madrid-Chamartín-Clara Campoamor,11,Badajoz > Mérida > Cáceres > Monfragüe-Plasencia > Navalmoral De La Mata > Oropesa De Toledo > Talavera De La Reina > Torrijos > Leganés > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-05-04,00420,LD,Larga Distancia,LD,TRENCELTA,Par (↓ Sur/Destino),22308,Vigo Guixar,94346,Porto Campanha,6,Vigo Guixar > Valenca Do Minho > Viana D Castelo > BARCELOS > Nine > Porto Campanha
2026-05-04,00421,LD,Larga Distancia,LD,TRENCELTA,Impar (↑ Norte/Origen),94346,Porto Campanha,22308,Vigo Guixar,6,Porto Campanha > Nine > BARCELOS > Viana D Castelo > Valenca Do Minho > Vigo Guixar
2026-05-04,00421,LD,Larga Distancia,LD,TRENCELTA,Impar (↑ Norte/Origen),94346,Porto Campanha,22402,Valenca Do Minho,5,Porto Campanha > Nine > BARCELOS > Viana D Castelo > Valenca Do Minho
2026-05-04,00422,LD,Larga Distancia,LD,TRENCELTA,Par (↓ Sur/Destino),22308,Vigo Guixar,94346,Porto Campanha,6,Vigo Guixar > Valenca Do Minho > Viana D Castelo > BARCELOS > Nine > Porto Campanha
2026-05-04,00423,LD,Larga Distancia,LD,TRENCELTA,Impar (↑ Norte/Origen),94346,Porto Campanha,22308,Vigo Guixar,6,Porto Campanha > Nine > BARCELOS > Viana D Castelo > Valenca Do Minho > Vigo Guixar
2026-05-04,00423,LD,Larga Distancia,LD,TRENCELTA,Impar (↑ Norte/Origen),94346,Porto Campanha,22402,Valenca Do Minho,5,Porto Campanha > Nine > BARCELOS > Viana D Castelo > Valenca Do Minho
2026-05-04,00437,LD,Larga Distancia,LD,ALVIA,Impar (↑ Norte/Origen),13200,Bilbao-Abando Indalecio Prieto,71801,Barcelona-Sants,11,Bilbao-Abando Indalecio Prieto > Miranda De Ebro > Haro > Logroño > Calahorra > Castejón De Ebro > Tudela De Navarra > Zaragoza-Delicias > Lleida-Pirineus > Camp Tarragona > Barcelona-Sants
2026-05-04,00437,LD,Larga Distancia,LD,ALVIA,Impar (↑ Norte/Origen),04040,Zaragoza-Delicias,71801,Barcelona-Sants,4,Zaragoza-Delicias > Lleida-Pirineus > Camp Tarragona > Barcelona-Sants
2026-05-04,00437,LD,Larga Distancia,LD,ALVIA,Impar (↑ Norte/Origen),13200,Bilbao-Abando Indalecio Prieto,11200,Miranda De Ebro,2,Bilbao-Abando Indalecio Prieto > Miranda De Ebro
2026-05-04,00438,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),71801,Barcelona-Sants,13200,Bilbao-Abando Indalecio Prieto,11,Barcelona-Sants > Camp Tarragona > Lleida-Pirineus > Zaragoza-Delicias > Tudela De Navarra > Castejón De Ebro > Calahorra > Logroño > Haro > Miranda De Ebro > Bilbao-Abando Indalecio Prieto
2026-05-04,00438,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),71801,Barcelona-Sants,04040,Zaragoza-Delicias,4,Barcelona-Sants > Camp Tarragona > Lleida-Pirineus > Zaragoza-Delicias
2026-05-04,00438,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),11200,Miranda De Ebro,13200,Bilbao-Abando Indalecio Prieto,2,Miranda De Ebro > Bilbao-Abando Indalecio Prieto
2026-05-04,00460,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),65000,Valencia-Estaciò Del Nord,71801,Barcelona-Sants,7,Valencia-Estaciò Del Nord > Castelló > Benicarló-Peñíscola > Vinaròs > L'Aldea-Amposta > Camp Tarragona > Barcelona-Sants
