route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1700037606GL023,2026-04-072026-10-11001901,0019012026-04-07,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001901,0019012026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-072026-10-11001902,0019022026-04-07,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001902,0019022026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-072026-10-10001903,0019032026-04-07,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001903,0019032026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-072026-10-10001904,0019042026-04-07,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001904,0019042026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-072026-10-14001921,0019212026-04-07,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-072026-10-14001922,0019222026-04-07,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-072026-04-30001941,0019412026-04-07,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-022026-05-04001941,0019412026-05-02,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-052026-05-05001941,0019412026-05-05,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-062026-05-06001941,0019412026-05-06,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-072026-05-07001941,0019412026-05-07,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-082026-05-08001941,0019412026-05-08,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-102026-05-10001941,0019412026-05-10,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-112026-05-11001941,0019412026-05-11,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-122026-05-12001941,0019412026-05-12,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-132026-05-13001941,0019412026-05-13,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-142026-05-14001941,0019412026-05-14,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-152026-05-15001941,0019412026-05-15,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-172026-05-17001941,0019412026-05-17,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-182026-05-18001941,0019412026-05-18,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-192026-05-19001941,0019412026-05-19,,00194,,,,1                                                                                                                                                                                                                                                                                       
