route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1700037606GL023,2026-06-232026-08-04001901,0019012026-06-23,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-11001901,0019012026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001901,0019012026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001901,0019012026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-032026-11-03001901,0019012026-11-03,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-232026-08-04001902,0019022026-06-23,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-11001902,0019022026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001902,0019022026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001902,0019022026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-032026-11-03001902,0019022026-11-03,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-232026-08-04001903,0019032026-06-23,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-10001903,0019032026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001903,0019032026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001903,0019032026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-012026-11-01001903,0019032026-11-01,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-232026-08-04001904,0019042026-06-23,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-10001904,0019042026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001904,0019042026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001904,0019042026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-012026-11-01001904,0019042026-11-01,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-232026-08-04001921,0019212026-06-23,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-14001921,0019212026-08-05,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-11-03001921,0019212026-10-15,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-232026-08-04001922,0019222026-06-23,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-14001922,0019222026-08-05,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-11-03001922,0019222026-10-15,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-232026-08-04001941,0019412026-06-23,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-08-05001941,0019412026-08-05,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-062026-08-06001941,0019412026-08-06,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-072026-10-10001941,0019412026-08-07,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-122026-10-14001941,0019412026-10-12,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001941,0019412026-10-15,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-022026-11-03001941,0019412026-11-02,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-232026-08-04001942,0019422026-06-23,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-08-05001942,0019422026-08-05,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-062026-08-06001942,0019422026-08-06,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-072026-10-10001942,0019422026-08-07,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-122026-10-14001942,0019422026-10-12,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001942,0019422026-10-15,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-022026-11-03001942,0019422026-11-02,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2026-06-232026-06-26002761,0027612026-06-23,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2026-06-272026-06-28002761,0027612026-06-27,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2026-06-292026-07-03002761,0027612026-06-29,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2026-07-042026-07-05002761,0027612026-07-04,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2026-07-062026-07-10002761,0027612026-07-06,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2026-07-112026-07-12002761,0027612026-07-11,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2026-07-132026-07-14002761,0027612026-07-13,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2026-06-232026-06-26002762,0027622026-06-23,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2026-06-272026-06-28002762,0027622026-06-27,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2026-06-292026-07-03002762,0027622026-06-29,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2026-07-042026-07-05002762,0027622026-07-04,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2026-07-062026-07-10002762,0027622026-07-06,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2026-07-112026-07-12002762,0027622026-07-11,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2026-07-132026-07-14002762,0027622026-07-13,,00276,,,,1                                                                                                                                                                                                                                                                                       
5631217000GL026,2026-06-232026-07-14002791,0027912026-06-23,,00279,,,,1                                                                                                                                                                                                                                                                                       
5030017000GL026,2026-06-232026-07-14002792,0027922026-06-23,,00279,,,,1                                                                                                                                                                                                                                                                                       
1120013200GL026,2026-06-232026-06-25002801,0028012026-06-23,,00280,,,,2                                                                                                                                                                                                                                                                                       
1120013200GL026,2026-06-262026-07-03002801,0028012026-06-26,,00280,,,,2                                                                                                                                                                                                                                                                                       
1120013200GL026,2026-07-042026-07-09002801,0028012026-07-04,,00280,,,,2                                                                                                                                                                                                                                                                                       
1120013200GL026,2026-07-102026-11-03002801,0028012026-07-10,,00280,,,,2                                                                                                                                                                                                                                                                                       
