route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1700037606GL023,2026-03-152026-04-01001901,0019012026-03-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-022026-04-03001901,0019012026-04-02,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-042026-10-11001901,0019012026-04-04,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001901,0019012026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-03-152026-04-01001902,0019022026-03-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-022026-04-03001902,0019022026-04-02,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-042026-10-11001902,0019022026-04-04,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001902,0019022026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-03-152026-04-01001903,0019032026-03-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-042026-10-10001903,0019032026-04-04,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001903,0019032026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-03-152026-04-01001904,0019042026-03-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-04-042026-10-10001904,0019042026-04-04,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001904,0019042026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-03-152026-10-14001921,0019212026-03-15,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-03-152026-10-14001922,0019222026-03-15,,00192,,,,1                                                                                                                                                                                                                                                                                       
